"Date","Open","High","Low","Close","Volume","Adj Close"
"20020830 00:00:00","83.9","84.64","83.9","84.5","30800","39.52"
"20020903 00:00:00","81.35","81.65","81.3","81.3","4600","38.02"
"20020904 00:00:00","81.2","81.4","81.2","81.34","16800","38.04"
"20020905 00:00:00","80.72","80.83","80.39","80.4","31000","37.6"
"20020906 00:00:00","82.35","82.35","81.98","81.99","28600","38.35"
"20020909 00:00:00","81.5","82.54","81.35","82.54","1800","38.6"
"20020910 00:00:00","83.29","83.3","83.05","83.3","12400","38.96"
"20020911 00:00:00","83.26","83.26","83.06","83.06","64600","38.85"
"20020912 00:00:00","82.65","82.65","81.74","81.85","1800","38.28"
"20020913 00:00:00","81.49","82","81.21","81.99","73400","38.35"
"20020916 00:00:00","81.5","81.75","81.1","81.56","95800","38.33"
"20020917 00:00:00","80.9","80.9","79.19","79.19","6800","37.21"
"20020918 00:00:00","79.1","79.41","78.32","79.2","30600","37.22"
"20020919 00:00:00","77.95","78.22","77.81","78","2800","36.65"
"20020920 00:00:00","77.5","77.79","77.25","77.57","71400","36.45"
"20020923 00:00:00","77.01","77.01","76.4","76.4","80400","35.9"
"20020924 00:00:00","75.55","75.55","74.69","74.69","8000","35.1"
"20020925 00:00:00","75.24","76.3","75.24","76.3","48200","35.86"
"20020926 00:00:00","77.31","78.5","77.3","78.45","28400","36.87"
"20020927 00:00:00","78.79","79.08","76.85","76.85","34000","36.11"
"20020930 00:00:00","75.09","75.41","75.09","75.41","2800","35.44"
"20021001 00:00:00","77.29","78.84","77.29","78.84","50600","37.05"
"20021002 00:00:00","78.01","78.03","77.16","77.16","45200","36.26"
"20021003 00:00:00","77.5","77.64","77.19","77.37","9000","36.36"
"20021004 00:00:00","76.25","76.25","76.01","76.01","13800","35.72"
"20021007 00:00:00","74.52","74.52","74.52","74.52","2800","35.02"
"20021008 00:00:00","74.81","74.81","72.85","73.93","19800","34.74"
"20021009 00:00:00","73.2","73.2","71.57","71.58","26800","33.64"
"20021010 00:00:00","71.7","73.65","71.1","73.6","27600","34.59"
"20021011 00:00:00","74.51","75.55","74.51","75.4","3600","35.43"
"20021014 00:00:00","76.15","76.15","75.91","76.08","1400","35.75"
"20021015 00:00:00","78.45","79.09","78.45","79","7200","37.12"
"20021016 00:00:00","78.5","78.5","77.95","78.15","17600","36.72"
"20021017 00:00:00","79.49","80.25","79.49","80.25","15400","37.71"
"20021018 00:00:00","79.4","80.2","79.4","80.2","600","37.69"
"20021021 00:00:00","79.6","80.7","79.42","80.53","1000","37.84"
"20021022 00:00:00","78.43","78.53","78.43","78.44","19600","36.86"
"20021023 00:00:00","78.25","79.57","78","79.4","36000","37.31"
"20021024 00:00:00","79.66","79.66","78.3","78.32","34400","36.8"
"20021025 00:00:00","77.95","78.2","77.95","78.12","33800","36.71"
"20021028 00:00:00","78.3","79.17","77.9","78","40800","36.65"
"20021029 00:00:00","75.98","75.98","75.98","75.98","200","35.71"
"20021030 00:00:00","77.97","78.14","77.9","78","34800","36.65"
"20021031 00:00:00","78.31","78.58","77.4","77.68","40600","36.5"
"20021101 00:00:00","79.39","79.4","79.35","79.35","4800","37.29"
"20021104 00:00:00","79.35","79.35","79.35","79.35","600","37.29"
"20021105 00:00:00","79.65","79.65","79.3","79.3","83800","37.27"
"20021106 00:00:00","79.5","80.58","79.38","80.58","58800","37.87"
"20021107 00:00:00","79.7","79.7","78.92","78.92","85800","37.09"
"20021108 00:00:00","79.34","79.35","78.95","78.95","2000","37.1"
"20021111 00:00:00","78.5","78.5","77.58","77.58","1400","36.46"
"20021112 00:00:00","77.55","78.14","77.5","77.55","82200","36.44"
"20021113 00:00:00","76.93","77.4","75.62","75.62","5400","35.54"
"20021114 00:00:00","77.3","78.23","77.3","78.23","4000","36.76"
"20021115 00:00:00","77.95","78.15","77.95","78.15","600","36.72"
"20021118 00:00:00","79.25","79.25","78.8","78.8","46800","37.03"
"20021119 00:00:00","79","79.25","78.8","78.8","1200","37.03"
"20021120 00:00:00","78.7","79.94","78.68","79.94","50600","37.57"
"20021121 00:00:00","80.5","81.2","80.5","81.2","1400","38.16"
"20021122 00:00:00","80.4","80.64","80.01","80.01","6600","37.6"
"20021125 00:00:00","80.01","80.39","79.74","80.39","5200","37.78"
"20021126 00:00:00","79.2","79.2","78.35","78.35","47400","36.82"
"20021127 00:00:00","80.75","80.84","80.75","80.84","43800","37.99"
"20021129 00:00:00","81.35","81.35","81.16","81.16","41200","38.14"
"20021202 00:00:00","81.5","81.65","80.8","81.65","38800","38.37"
"20021203 00:00:00","82.03","82.03","81.56","81.6","27200","38.35"
"20021204 00:00:00","80.88","80.88","80.88","80.88","1200","38.01"
"20021205 00:00:00","81.6","81.6","81.38","81.4","1600","38.25"
"20021206 00:00:00","81.5","81.94","81.35","81.94","4800","38.51"
"20021209 00:00:00","81.8","82.3","80.46","80.46","7400","37.81"
"20021210 00:00:00","80.5","81.5","80.5","81.5","7800","38.3"
"20021211 00:00:00","81.48","81.48","81.1","81.1","3200","38.11"
"20021212 00:00:00","81.35","82.34","81.35","82.34","9200","38.69"
"20021213 00:00:00","82.25","82.34","81.61","82.05","5400","38.56"
"20021216 00:00:00","82.5","83.55","82.5","83.55","122200","39.41"
"20021217 00:00:00","84","84","82.86","83","34400","39.15"
"20021218 00:00:00","82.25","82.38","81.5","81.7","20200","38.54"
"20021219 00:00:00","81.7","82","81.02","81.02","3800","38.22"
"20021220 00:00:00","81.25","82.45","81.25","82.45","6200","38.89"
"20021223 00:00:00","82.75","83.09","82.39","82.81","18600","39.06"
"20021224 00:00:00","82.95","82.95","82.27","82.4","3200","38.87"
"20021226 00:00:00","82.16","82.71","81.94","81.94","5800","38.65"
"20021227 00:00:00","81.88","81.88","80.71","81.05","20400","38.23"
"20021230 00:00:00","81.05","81.05","80.92","80.95","2800","38.19"
"20021231 00:00:00","81.17","81.39","80.16","81.39","5800","38.39"
"20030102 00:00:00","81.79","83.05","81.61","83.05","4200","39.18"
"20030103 00:00:00","83.2","83.2","82.87","83","3200","39.15"
"20030106 00:00:00","83.45","84.35","83.45","84.19","5200","39.71"
"20030107 00:00:00","83.35","83.35","81.57","81.7","15400","38.54"
"20030108 00:00:00","81","81.31","80.47","80.47","5200","37.96"
"20030109 00:00:00","80.65","81.62","80.65","81.62","800","38.5"
"20030110 00:00:00","81.6","81.85","81.6","81.85","1200","38.61"
"20030113 00:00:00","81.75","81.75","80.99","81.44","6200","38.42"
"20030114 00:00:00","81.6","81.6","81","81.1","2800","38.26"
"20030115 00:00:00","81","81.65","80.93","81.58","4400","38.48"
"20030116 00:00:00","81.5","82.32","81.5","82.32","3800","38.83"
"20030117 00:00:00","82.1","82.2","81.76","81.83","1600","38.6"
"20030121 00:00:00","80.9","80.9","79.7","79.7","15000","37.6"
"20030122 00:00:00","79","79.74","78.39","79.59","16800","37.54"
"20030123 00:00:00","79.4","80.27","79.4","80.02","2400","37.75"
"20030124 00:00:00","79.1","79.36","78.58","78.62","12200","37.09"
"20030127 00:00:00","77.4","77.66","76.01","76.64","27000","36.15"
"20030128 00:00:00","76.35","77.4","76.35","77.4","103400","36.51"
"20030129 00:00:00","77","79.58","77","79.35","20200","37.43"
"20030130 00:00:00","79.35","79.64","78.45","78.45","7000","37.01"
"20030131 00:00:00","77.4","79.6","77.4","79.25","7000","37.38"
"20030203 00:00:00","79.25","79.65","79.25","79.63","8600","37.56"
"20030204 00:00:00","79.31","80.55","79.31","80.52","59000","37.98"
"20030205 00:00:00","80.7","80.75","79.89","80.1","6600","37.78"
"20030206 00:00:00","79.35","79.35","78.54","79","3200","37.27"
"20030207 00:00:00","79","79.11","78.3","78.3","4400","36.94"
"20030210 00:00:00","78.3","78.98","78.3","78.5","11200","37.03"
"20030211 00:00:00","79","79","78.77","78.9","600","37.22"
"20030212 00:00:00","78.6","78.6","77.3","77.3","6600","36.46"
"20030213 00:00:00","77.35","77.4","76.7","76.85","5200","36.25"
"20030214 00:00:00","77.35","77.6","77.35","77.54","4400","36.58"
"20030218 00:00:00","78.3","79.12","78.3","78.72","1400","37.13"
"20030219 00:00:00","78.89","78.99","78.89","78.99","4000","37.26"
"20030220 00:00:00","79.13","79.14","78.92","78.92","800","37.23"
"20030221 00:00:00","79","80.58","79","80.5","4600","37.97"
"20030224 00:00:00","80.92","81.1","80.75","81","5200","38.21"
"20030225 00:00:00","81.06","81.06","80.05","80.6","1800","38.02"
"20030226 00:00:00","80.2","80.36","80.16","80.36","1400","37.91"
"20030227 00:00:00","80.64","80.77","80.12","80.16","4200","37.81"
"20030228 00:00:00","80.3","80.74","80.3","80.74","1400","38.09"
"20030303 00:00:00","81.14","81.15","80.79","81","1600","38.21"
"20030304 00:00:00","80.52","80.66","80.14","80.14","142000","37.8"
"20030305 00:00:00","80.65","80.69","80.4","80.69","38200","38.06"
"20030306 00:00:00","80.35","80.59","80.02","80.29","6400","37.87"
"20030307 00:00:00","79.9","80.45","79.71","80.45","19000","37.95"
"20030310 00:00:00","80.35","80.35","78.91","78.92","5400","37.36"
"20030311 00:00:00","78.9","79.45","78.63","78.63","10200","37.23"
"20030312 00:00:00","76.9","76.9","76.17","76.84","110000","36.38"
"20030313 00:00:00","77.55","77.61","77.21","77.61","3000","36.74"
"20030314 00:00:00","77.5","77.86","77.5","77.71","2800","36.79"
"20030317 00:00:00","78.25","79.31","78.25","79.12","24200","37.46"
"20030318 00:00:00","78.39","79.87","78.39","79.87","2400","37.81"
"20030319 00:00:00","80.25","80.25","79.83","79.9","3000","37.83"
"20030320 00:00:00","80.15","80.98","79.7","80.98","31200","38.34"
"20030321 00:00:00","80.8","80.8","80.31","80.62","4400","38.17"
"20030324 00:00:00","80.45","80.45","78.85","78.85","19800","37.33"
"20030325 00:00:00","79.41","80.42","79.41","79.95","24000","37.85"
"20030326 00:00:00","80.12","80.12","79.53","79.53","4000","37.65"
"20030327 00:00:00","79.28","80.16","79.28","79.98","4800","37.87"
"20030328 00:00:00","79.85","79.85","79.85","79.85","200","37.81"
"20030331 00:00:00","79.5","79.71","79.31","79.33","48400","37.56"
"20030401 00:00:00","80.1","80.69","80.1","80.69","7200","38.2"
"20030402 00:00:00","80.14","80.31","80.14","80.31","1000","38.02"
"20030403 00:00:00","80.65","80.65","79.41","79.45","24400","37.62"
"20030404 00:00:00","79.8","80.14","79.6","79.83","20600","37.8"
"20030407 00:00:00","80.2","80.63","79.59","79.59","43000","37.68"
"20030408 00:00:00","79.15","79.34","79.02","79.05","6800","37.43"
"20030409 00:00:00","79.46","79.46","79","79.22","1200","37.51"
"20030410 00:00:00","79.28","79.8","79.28","79.8","1000","37.78"
"20030411 00:00:00","79.95","79.95","79.26","79.63","3600","37.7"
"20030414 00:00:00","79.59","79.86","79.59","79.86","2400","37.81"
"20030415 00:00:00","79.84","80.19","79.83","80.19","5000","37.97"
"20030416 00:00:00","79.7","79.89","79.35","79.4","4200","37.59"
"20030417 00:00:00","80.23","80.76","80.23","80.76","2400","38.24"
"20030421 00:00:00","80.8","81.25","80.8","81.09","6200","38.39"
"20030422 00:00:00","81.39","82.27","81.39","82.15","13200","38.89"
"20030423 00:00:00","82.3","82.39","81.6","82.09","163400","38.87"
"20030424 00:00:00","81.5","81.88","81.21","81.47","16600","38.57"
